82e70591,2026-08-27T01:23:23,4a,axis6 lrdecay,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,exponential,0.05,64,30,none,3,0.029394,0.992444,0.926973,0.315017,0.934464,0.433231,0.965|0.0167|0.7111|0.04,0.898266,24.56
7c94974b,2026-08-27T01:23:48,4a,axis10 standardize,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.024646,0.992691,0.92971,0.487871,0.871023,0.363245,0.934|0.0|0.4882|0.0308,0.898266,24.84
859b8612,2026-08-27T01:24:13,4a,axis10 standardize,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.023149,0.993728,0.943798,0.392454,0.900076,0.416142,0.9495|0.0155|0.6951|0.0045,0.898266,25.36
49722c5f,2026-08-27T01:24:38,4a,axis10 standardize,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.025906,0.992839,0.936098,0.343836,0.913888,0.425359,0.955|0.0348|0.7117|0.0,0.898266,24.37
dea0da98,2026-08-27T01:25:03,4a,axis10 standardize,waveform+rr,all,True,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,1,0.017104,0.995185,0.958758,0.737995,0.816155,0.351415,0.902|0.0426|0.3921|0.069,0.898266,25.22
0a2ea628,2026-08-27T01:25:27,4a,axis10 standardize,waveform+rr,all,True,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,2,0.019836,0.993777,0.948362,0.446425,0.883311,0.41994,0.9431|0.2344|0.5022|0.0,0.898266,23.95
dbb94072,2026-08-27T01:25:51,4a,axis10 standardize,waveform+rr,all,True,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,64,30,none,3,0.017172,0.995283,0.962922,0.501472,0.845875,0.387083,0.9184|0.1205|0.4439|0.0656,0.898266,23.83
3516ff0f,2026-08-27T01:26:03,4a,axis4 batchsize,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,0,30,none,1,0.245196,0.940463,0.425137,0.857324,0.697752,0.265544,0.8309|0.0563|0.1732|0.0017,0.898266,12.12
de458b78,2026-08-27T01:26:15,4a,axis4 batchsize,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,0,30,none,2,0.236801,0.939352,0.423221,1.106754,0.697085,0.261947,0.8261|0.0854|0.1363|0.0,0.898266,12.15
57e18137,2026-08-27T01:26:27,4a,axis4 batchsize,waveform+rr,all,False,16,tanh,softmax,he,0.0,1.0,False,gd,0.1,none,0.01,0,30,none,3,0.268717,0.929944,0.400393,0.967749,0.685559,0.241666,0.8261|0.0612|0.0768|0.0025,0.898266,12.01
